trial_number,state,value,datetime_start,datetime_complete,duration,param_vae_lr,param_policy_lr,param_vae_beta,param_vae_update_freq,param_seq_len,param_episodes_per_task,param_batch_size,param_vae_batch_size,param_ppo_epochs,param_entropy_coef
0,COMPLETE,15.964435697366135,2025-08-13 09:36:45.012561,2025-08-15 16:06:41.071896,196196.059335,0.0032944181610491145,0.0005043296836136529,0.026186409979334226,1,120,12,8192,2048,4,0.020782415084908152
1,COMPLETE,3.1072701622883323,2025-08-13 09:36:45.013935,2025-08-13 12:12:53.917950,9368.904015,0.0023791052391246106,0.0022820145657299375,0.10275292095167225,1,30,5,1024,256,8,0.015119286970838785
2,COMPLETE,18.36193044927877,2025-08-13 09:36:45.015583,2025-08-15 20:18:33.638608,211308.623025,0.002396246176348721,0.0009312483742945319,0.1475069509037853,1,120,8,4096,2048,8,0.005347643363151982
3,PRUNED,8.399732044670818,2025-08-13 09:36:45.016995,2025-08-14 04:10:10.012667,66804.995672,0.00441876587932556,0.0005624144886325424,0.007460374306603438,2,60,8,4096,1024,8,0.0026566523216161203
4,PRUNED,8.337941205340613,2025-08-13 09:36:45.018962,2025-08-14 12:14:20.221456,95855.202494,0.0012468503494092215,0.0011525682024227685,0.0026278722626095147,2,60,5,1024,256,4,0.05873795323858861
5,COMPLETE,5.530837347356719,2025-08-13 09:36:45.020492,2025-08-13 11:49:24.530607,7959.510115,0.0012443657750180047,0.0005787264277809865,0.004049006043948296,5,30,12,8192,1024,8,0.04434313831420367
6,COMPLETE,40.79089183776698,2025-08-13 09:36:45.022091,2025-08-15 20:32:37.405526,212152.383435,0.0011856275060768548,0.0009803499089139653,0.11556867585820191,2,90,8,2048,2048,2,0.004097109650098619
7,COMPLETE,16.997658240934687,2025-08-13 09:36:45.022626,2025-08-15 20:33:10.824393,212185.801767,0.00487729307353762,0.0014058418963127414,0.12731472586692538,5,90,8,2048,1024,4,0.025642177025605412
8,COMPLETE,9.150646252919524,2025-08-13 09:36:45.023788,2025-08-13 10:42:49.886615,3964.862827,0.0025516157557687403,0.0008603849958854795,0.10221546869897112,5,30,5,1024,256,4,0.0035117816807571974
9,COMPLETE,14.54952957893288,2025-08-13 09:36:45.024651,2025-08-15 21:16:39.436257,214794.411606,0.001200689604190197,0.0005678239871467408,0.47612333592569117,5,90,8,1024,1024,2,0.0015165721801236906
10,PRUNED,4.723039454575701,2025-08-13 09:36:45.026067,2025-08-15 19:45:50.440625,209345.414558,0.002545654468303666,0.0011176798352811525,0.002662193844020867,1,90,8,4096,512,2,0.028563187508647378
11,PRUNED,0.5252706377580761,2025-08-13 09:36:45.026960,2025-08-14 06:57:46.007479,76860.980519,0.001928899255789315,0.0008269131646530656,0.048105009533745156,1,30,8,1024,512,8,0.014821060892956041
12,PRUNED,1.8240512769966153,2025-08-13 09:36:45.027837,2025-08-13 20:44:38.965233,40073.937396,0.0016152022435077682,0.0027598289098760428,0.11589027599250572,1,30,8,1024,2048,4,0.029103621589956816
13,COMPLETE,15.408445435059257,2025-08-13 09:36:45.028499,2025-08-15 02:30:51.530289,147246.50179,0.00177768372410154,0.0023462719724029035,0.4845684120546717,2,90,8,8192,256,8,0.09399554754740366
14,COMPLETE,11.586211937145436,2025-08-13 09:36:45.029433,2025-08-15 22:38:35.224025,219710.194592,0.0018541547508730339,0.0026482177670830434,0.03679087203913403,2,120,12,1024,2048,4,0.0027685822083240597
15,COMPLETE,22.319760622254385,2025-08-13 10:42:50.148870,2025-08-13 13:33:32.592003,10242.443133,0.001042510946823989,0.0005486467080456763,0.021990135785419907,2,120,12,8192,256,8,0.001797453430396852
16,COMPLETE,14.614861565981409,2025-08-13 11:49:25.298198,2025-08-15 20:10:26.538982,202861.240784,0.0012777152954877094,0.002707538542855619,0.06354204225034184,2,90,5,2048,256,8,0.01237627863560761
17,COMPLETE,13.30511953629777,2025-08-13 12:12:54.198862,2025-08-13 12:41:14.446977,1700.248115,0.003304138469823627,0.0012946832535478056,0.030635904572930136,2,120,12,2048,2048,4,0.004039735134980499
18,COMPLETE,20.55008043990194,2025-08-13 12:41:14.844475,2025-08-13 13:07:28.418033,1573.573558,0.003554841337068563,0.0005632661925872542,0.0019493225313474548,5,120,3,2048,1024,2,0.003063426169886253
19,COMPLETE,10.8241117406993,2025-08-13 13:07:28.681824,2025-08-13 14:01:32.028528,3243.346704,0.0011842612641019832,0.0005298938544379849,0.20424488286565312,5,90,12,2048,256,4,0.005993314424583754
20,COMPLETE,14.952217115875174,2025-08-13 13:33:32.922660,2025-08-13 19:37:58.418275,21865.495615,0.0017022400418105084,0.0008692907761190934,0.2558804733255962,1,120,12,2048,256,2,0.05424358218644588
21,COMPLETE,11.578783903746807,2025-08-13 14:01:32.303194,2025-08-13 19:43:39.929113,20527.625919,0.002326707685306543,0.0006112956998705493,0.19026568590865275,1,60,3,2048,512,4,0.05139950268765986
22,PRUNED,5.212887303984026,2025-08-13 19:37:58.746362,2025-08-13 19:40:21.176938,142.430576,0.002966845783214452,0.0012739419120171304,0.02851735319509671,5,30,8,2048,2048,8,0.0018574750375157764
23,COMPLETE,16.242619553237454,2025-08-13 19:40:21.447214,2025-08-14 05:56:25.249330,36963.802116,0.0020845819321321057,0.0005974739312939704,0.018102833496851278,1,60,12,1024,512,4,0.002673270792839928
24,COMPLETE,13.05883617867952,2025-08-13 19:43:40.201156,2025-08-13 22:57:25.850898,11625.649742,0.0045295682334291106,0.00262018560425643,0.8643181093126749,2,60,8,8192,512,8,0.0010701773854269229
25,COMPLETE,12.96720301898211,2025-08-13 20:44:39.295286,2025-08-13 21:11:43.072839,1623.777553,0.004859639300176721,0.0008105613226576807,0.001327017690100681,2,120,3,8192,1024,2,0.001057725870717552
26,PRUNED,6.6773609330636825,2025-08-13 21:11:43.357689,2025-08-13 21:28:09.468882,986.111193,0.004391847685255116,0.00168627795797097,0.00735380167083104,2,120,3,4096,1024,2,0.0019176085695334795
27,COMPLETE,15.628888708274898,2025-08-13 21:28:09.726708,2025-08-14 08:12:16.815933,38647.089225,0.0037228737323556065,0.0007036861691999609,0.8391148029542872,2,120,3,8192,512,2,0.006875768603562326
28,COMPLETE,17.799204534935562,2025-08-13 22:57:26.550713,2025-08-13 23:21:15.980858,1429.430145,0.001760742533445434,0.0007152028491063827,0.007610537216986528,5,120,3,4096,1024,2,0.010263176457105762
29,COMPLETE,13.906758136428252,2025-08-13 23:21:16.291526,2025-08-14 01:04:31.204226,6194.9127,0.0035898418330072342,0.0005021895161667763,0.001126343150211117,2,90,12,8192,256,2,0.002363073576202136
30,COMPLETE,22.92091930309385,2025-08-14 01:04:31.566068,2025-08-14 01:27:49.690615,1398.124547,0.001395925456445642,0.0010278772564735919,0.012640895063071304,5,120,3,8192,1024,8,0.007537490455854918
31,COMPLETE,15.170222442623635,2025-08-14 01:27:50.041042,2025-08-14 04:38:25.268171,11435.227129,0.0010837449423483007,0.0010370922707491743,0.016374149293179978,2,120,5,8192,512,8,0.0069732329165831915
32,COMPLETE,30.49035439218773,2025-08-14 04:10:10.445088,2025-08-15 20:29:25.601442,145155.156354,0.0010352672422151252,0.0016627094770157586,0.015340480123840426,5,120,5,8192,512,8,0.006355351910487732
33,COMPLETE,15.353579866431682,2025-08-14 04:38:25.661013,2025-08-14 05:36:32.002246,3486.341233,0.0013945598227111408,0.0016595359087011794,0.016038006585161135,5,120,12,8192,256,8,0.018170376269631708
34,COMPLETE,14.400744434180961,2025-08-14 05:36:32.341940,2025-08-14 05:52:09.055565,936.713625,0.0010054227653947452,0.0010491102535859576,0.05542939568448904,5,90,3,8192,1024,8,0.09164131155429467
35,COMPLETE,15.670360449010404,2025-08-14 05:52:09.394647,2025-08-14 06:24:33.550891,1944.156244,0.001912379760677203,0.0006659974797149343,0.002659250904195847,5,120,3,8192,1024,2,0.005152000132762876
36,COMPLETE,16.66611471778655,2025-08-14 05:56:25.565029,2025-08-14 06:31:10.340302,2084.775273,0.0014520766797837042,0.0007457460821485098,0.0026778119421159183,5,120,3,8192,1024,2,0.005298550075791002
37,PRUNED,5.119998566699505,2025-08-14 06:24:33.928755,2025-08-14 06:45:19.996037,1246.067282,0.0013788768921926882,0.000730213317885513,0.003298406157450273,5,120,3,2048,1024,8,0.008733861153027838
38,COMPLETE,20.3882806879282,2025-08-14 06:31:10.659364,2025-08-14 07:12:07.832306,2457.172942,0.0013150871715105893,0.0010074783650043328,0.004028597559950688,5,120,3,2048,1024,8,0.0014966724116148044
39,COMPLETE,16.420990945951488,2025-08-14 06:45:20.290460,2025-08-14 07:26:37.140899,2476.850439,0.0012187502057970905,0.0010173317801052098,0.009594980504670954,5,120,3,8192,1024,8,0.0015656267286779139
40,COMPLETE,29.250679436024367,2025-08-14 06:57:46.324042,2025-08-14 07:40:54.812724,2588.488682,0.001192742274468663,0.001007374333280723,0.010374140433647691,5,120,3,8192,1024,8,0.00145948637263877
41,COMPLETE,13.869763799565408,2025-08-14 07:12:08.259582,2025-08-14 09:55:51.162307,9822.902725,0.0011140475911007117,0.001485694649278963,0.010687223019857832,2,120,3,8192,256,2,0.003457127049087823
42,PRUNED,7.281452173939783,2025-08-14 07:26:37.475584,2025-08-14 08:35:39.015384,4141.5398,0.002743824610846816,0.0015203427685920642,0.0020782251623814854,2,120,5,4096,256,2,0.003879539681444984
43,COMPLETE,14.865807969840608,2025-08-14 07:40:55.140419,2025-08-14 22:26:21.500988,53126.360569,0.0010021156666027847,0.0015354916269185147,0.012185275442392566,2,120,5,8192,256,8,0.01365691814097241
44,PRUNED,10.971686927228001,2025-08-14 08:12:17.136370,2025-08-14 10:10:47.253112,7110.116742,0.001001967977607739,0.0015090566878383487,0.011287852338873581,2,90,5,8192,256,8,0.001393212067909463
45,COMPLETE,78.02365628688561,2025-08-14 08:35:39.320868,2025-08-14 08:59:50.736640,1451.415772,0.001114597769128753,0.0020637836194718393,0.015019748632403074,5,120,3,8192,1024,8,0.0014190293644437421
46,COMPLETE,121.714461572656,2025-08-14 08:59:51.016245,2025-08-14 09:23:35.000218,1423.983973,0.0010748206602172114,0.002028999876694518,0.012576266638551518,5,120,3,8192,1024,8,0.0013141391952945932
47,COMPLETE,77.4390255082176,2025-08-14 09:23:35.272154,2025-08-14 09:47:26.989499,1431.717345,0.0011399793065188187,0.0019752292790606984,0.006054390770973783,5,120,3,8192,1024,8,0.0012143922626204938
48,COMPLETE,13.66473741184658,2025-08-14 09:47:27.244302,2025-08-14 10:09:26.707628,1319.463326,0.0011564563171676029,0.0020486991829580603,0.0056663248073318155,5,90,3,8192,1024,8,0.0012781615151728402
49,COMPLETE,27.40734605648817,2025-08-14 09:55:51.444713,2025-08-14 10:24:28.013399,1716.568686,0.001537228381068374,0.002068980193290252,0.005681177313897299,5,90,3,8192,1024,8,0.0012126807198487406
50,PRUNED,-10.861905787480792,2025-08-14 10:09:27.076060,2025-08-14 10:20:45.983887,678.907827,0.0015316932833306517,0.0021296151361780394,0.048015953752378264,5,60,5,8192,1024,8,0.0010217518957458802
51,PRUNED,2.1271886174660177,2025-08-14 10:10:47.594859,2025-08-14 10:15:20.309768,272.714909,0.0015451655795180026,0.0019795015447578125,0.00562705569860915,5,30,3,8192,1024,8,0.0024400088845006247
52,PRUNED,0.7411138412536821,2025-08-14 10:15:20.606567,2025-08-14 12:03:37.375782,6496.769215,0.001250031848535535,0.0024015242890522022,0.061202612177979995,5,60,3,1024,1024,8,0.0010790141490175694
53,COMPLETE,13.760207852689527,2025-08-14 10:20:46.305285,2025-08-14 12:10:28.688910,6582.383625,0.0012899114417941797,0.0022953328705803645,0.004919753048907928,5,120,3,1024,2048,8,0.0021233904524903097
54,PRUNED,10.010394877740728,2025-08-14 10:24:28.581689,2025-08-14 11:32:26.978269,4078.39658,0.0012642544984340126,0.0023996792279885716,0.04016186543591162,5,120,8,1024,2048,8,0.0021096166001087664
55,PRUNED,9.954109766710609,2025-08-14 11:32:27.329281,2025-08-14 11:43:15.604375,648.275094,0.0011322879372466599,0.002985902461574505,0.006246682697996638,5,90,3,8192,1024,8,0.0013664695691446602
56,COMPLETE,12.737000668082182,2025-08-14 11:43:15.907853,2025-08-14 12:00:52.138471,1056.230618,0.0012598020168369164,0.0018541701554613847,0.024854967502040838,5,90,3,8192,1024,8,0.001275290866912645
57,PRUNED,9.586989573013561,2025-08-14 12:00:52.426850,2025-08-14 12:20:29.770279,1177.343429,0.001071626071196944,0.002353840903906359,0.00458012885040215,5,90,3,8192,1024,8,0.001670605851223363
58,PRUNED,3.105375060524093,2025-08-14 12:03:37.668323,2025-08-14 12:08:23.519063,285.85074,0.001090864070609742,0.002247243512739214,0.004649710794016947,5,30,3,8192,1024,8,0.0017219147064122117
59,COMPLETE,10.981101847977406,2025-08-14 12:08:23.901471,2025-08-14 12:53:15.151342,2691.249871,0.0011710038401548941,0.0019134920180336624,0.008666038998720422,1,90,3,8192,1024,8,0.0029612152881229366
60,PRUNED,8.122056410228652,2025-08-14 12:10:29.138481,2025-08-14 12:37:05.287713,1596.149232,0.0010568950088874428,0.0018757383033418742,0.0078080119706753605,1,90,3,8192,1024,8,0.002892825751623889
61,COMPLETE,15.87840332354764,2025-08-14 12:14:20.777034,2025-08-14 13:01:25.029074,2824.25204,0.001164451823750022,0.001882521116564153,0.008649210567226843,1,90,3,8192,1024,8,0.0028887580116990705
62,COMPLETE,17.234109167378392,2025-08-14 12:20:30.283823,2025-08-14 13:26:08.641683,3938.35786,0.0011707171579272485,0.0026615522707103354,0.0206744705341374,1,120,3,4096,1024,4,0.0029077231931665397
63,COMPLETE,13.50600896675751,2025-08-14 12:37:05.694358,2025-08-14 13:42:29.767142,3924.072784,0.0011705110459697735,0.0026732971780195737,0.01761808566033098,5,120,8,4096,1024,4,0.001229002942069471
64,COMPLETE,15.519683754302969,2025-08-14 12:53:15.563631,2025-08-14 13:59:14.591202,3959.027571,0.0016643479165273348,0.0017574632102690451,0.021726735654285817,5,120,8,4096,1024,4,0.0012251770459238028
65,COMPLETE,21.39466269732944,2025-08-14 13:01:25.358969,2025-08-14 14:08:27.182047,4021.823078,0.0014162980213579608,0.0011594803094906155,0.013399878864417349,5,120,3,8192,1024,8,0.028930330125363363
66,COMPLETE,18.366426332740375,2025-08-14 13:26:08.978508,2025-08-14 14:32:20.191474,3971.212966,0.0014194377099406273,0.0011692931242582147,0.013691122769688374,5,120,8,8192,1024,8,0.034719326560340415
67,COMPLETE,19.419748379557568,2025-08-14 13:42:30.157893,2025-08-14 14:49:16.613983,4006.45609,0.0013791670058916428,0.0012258677269206878,0.012556801444250388,5,120,3,8192,1024,8,0.025629687886888422
68,COMPLETE,15.660800807897104,2025-08-14 13:59:14.956622,2025-08-14 15:06:57.005561,4062.048939,0.0015137749994584267,0.0009130186879563532,0.014098991374594893,5,120,3,8192,1024,8,0.01691865142975419
69,COMPLETE,15.080940690094575,2025-08-14 14:08:27.529045,2025-08-14 15:16:47.293428,4099.764383,0.0018112915789255206,0.0008718933738943266,0.012414573562418487,5,120,3,8192,2048,8,0.014656397252912274
70,COMPLETE,16.88565647124662,2025-08-14 14:32:20.738650,2025-08-14 15:28:20.916970,3360.17832,0.0018551102831318887,0.0009096382591888375,0.033611262616142376,5,120,3,8192,2048,8,0.017213550725471493
71,PRUNED,5.677236638308968,2025-08-14 14:49:17.148010,2025-08-14 14:56:04.736826,407.588816,0.0018483848806039023,0.0009295068374825435,0.028323701904909064,5,30,3,8192,2048,8,0.013883687546079937
72,COMPLETE,14.894756774147172,2025-08-14 14:56:05.212089,2025-08-14 16:55:46.204695,7180.992606,0.001566420153880474,0.0013179477500872385,0.003492027644962933,5,120,3,8192,512,8,0.0020032031933361447
73,COMPLETE,20.411381967347623,2025-08-14 15:06:57.563115,2025-08-14 20:07:45.484440,18047.921325,0.002160859521567309,0.0013557039389257767,0.03594535540066678,5,120,12,8192,512,8,0.002017067141395494
74,COMPLETE,20.16110292944917,2025-08-14 15:16:47.772484,2025-08-15 15:42:43.661639,87955.889155,0.0020964911795259716,0.0013756213439059873,0.0034672088930590384,5,120,12,8192,512,8,0.0021162077831309322
75,COMPLETE,63.82611177471801,2025-08-14 15:28:21.407231,2025-08-14 18:18:31.599608,10210.192377,0.0010297938457519194,0.0013181166222991558,0.0033506371779631287,2,120,12,8192,256,8,0.0019237944829234813
76,COMPLETE,16.97889030649705,2025-08-14 16:55:46.585654,2025-08-14 18:55:01.960028,7155.374374,0.0010304773841638653,0.0013802035145412145,0.006311534388358969,2,120,12,8192,256,8,0.00171457183901355
77,COMPLETE,12.604951295166247,2025-08-14 18:18:31.961905,2025-08-14 20:38:23.806433,8391.844528,0.0021775161328622472,0.002144332557690074,0.0019136722083379978,2,120,12,8192,256,8,0.001592345490162719
78,COMPLETE,16.01509843438449,2025-08-14 18:55:02.361318,2025-08-14 20:54:23.922014,7161.560696,0.002148086804086831,0.0021331228553632957,0.0017897210417462586,2,120,12,8192,256,8,0.0023148502960406263
79,PRUNED,8.928581248156915,2025-08-14 20:07:45.842071,2025-08-14 22:24:45.023704,8219.181633,0.001329410052122715,0.0021569511753769754,0.0019945754176114395,2,60,12,8192,256,8,0.0015610130966787511
80,PRUNED,-0.6231892331600829,2025-08-14 20:38:24.157445,2025-08-14 20:44:43.916338,379.758893,0.0013230935508359131,0.0010828253607420499,0.0031372515798134995,5,60,12,2048,1024,8,0.001109869558256568
81,COMPLETE,16.646326775078542,2025-08-14 20:44:44.264479,2025-08-15 00:37:33.610153,13969.345674,0.0012122353361801814,0.0016043285557084575,0.001492482080507331,2,120,12,8192,256,8,0.002304703660641203
82,COMPLETE,28.489929444235386,2025-08-14 20:54:24.284971,2025-08-14 21:19:51.720297,1527.435326,0.0013326731052796348,0.0007908850626510268,0.009813890161038662,5,120,5,8192,1024,8,0.004353505709976186
83,COMPLETE,36.009126698843176,2025-08-14 21:19:52.042648,2025-08-14 21:44:38.609811,1486.567163,0.0012188460346958406,0.0016383114882340124,0.009936258826342114,5,120,5,8192,1024,8,0.004438516321685406
